SKU,angro-offseason,angro-inseason,end-price-offseason,end-price,end-price-inseason
EM G0164-1,29,40,58,96,72
EM G0164-2,29,40,58,96,72
EM G0164-3,29,40,58,96,72
ЕМ G0744-1,50,69,99,165,124
ЕМ G0744-2,50,69,99,165,124
EM G0470-1,23,32,45,75,56
EM G0470-2,23,32,45,75,56
EM G0470-3,23,32,45,75,56
EM G0471-1,26,36,51,85,64
EM G0471-2,26,36,51,85,64
EM G0471-3,26,36,51,85,64
EM G0163-1,26,37,53,88,66
EM G0163-2,26,37,53,88,66
EM G0163-3,26,37,53,88,66
EM G05168,40,56,80,133,100
EM G05161-1,33,46,65,109,82
EM G05161-2,33,46,65,109,82
EM G0626-1,45,63,90,150,113
EM G0626-2,45,63,90,150,113
ЕМ G0169-1,25,35,50,83,62
ЕМ G0169-2,25,35,50,83,62
ЕМ G0169-3,25,35,50,83,62
ЕМ G0175,25,35,50,84,0
EM G0627,29,40,57,95,71
EM G0628-1,29,40,57,95,71
EM G0628-2,29,40,57,95,71
EM G0628-3,29,40,57,95,71
ЕМ G0170,27,37,53,89,67
ЕМ G0171-1,27,37,53,89,67
ЕМ G0171-2,27,37,53,89,67
ЕМ G0171-3,27,37,53,89,67
ЕМ G0173-1,29,40,57,95,71
ЕМ G0173-3,29,40,57,95,71
EM G0477-1,32,45,64,107,80
EM G0477-2,32,45,64,107,80
EM G05164-1,29,41,58,97,73
EM G05164-2,29,41,58,97,73
EM G05165-1,39,54,77,129,97
EM G05165-2,39,54,77,129,97
EM G05170-1,39,54,77,129,97
EM G05170-2,40,56,80,133,100
EM G05170-3,39,54,77,129,97
ЕМ G0174-1,26,37,52,87,65
ЕМ G0174-2,26,37,52,87,65
ЕМ G0174-3,26,37,52,87,65
ЕМ G0174-4,26,37,52,87,65
EM G0218,22,30,43,72,54
EM G0478,23,32,46,77,58
EM G0219-1,22,30,43,72,54
EM G0219-2,22,30,43,72,54
EM G0219-3,22,30,43,72,54
EM G0219-4,22,30,43,72,54
EM G05171,28,39,55,92,69
EM G05166,42,58,83,139,104
EM G0331-1,29,40,58,96,72
EM G0331-2,29,40,58,96,72
EM G0331-3,29,40,58,96,72
EM G0335-1,27,37,53,89,67
EM G0335-2,27,37,53,89,67
EM G0473-1,29,40,58,96,72
EM G0473-2,20,29,41,68,51
EM G0473-3,20,29,41,68,51
EM G0473-4,20,29,41,68,51
EM G0474-1,21,30,43,71,53
EM G0474-2,21,30,43,71,53
EM G0474-3,21,30,43,71,53
EM G0476-1,21,29,41,69,52
EM G0476-2,21,29,41,69,52
EM G0476-3,21,29,41,69,52
EM G0476-4,21,29,41,69,52
EM G0482-1,18,25,35,59,44
EM G0482-2,18,25,35,59,44
EM G0482-3,18,25,35,59,44
EM G0158-1,26,36,51,85,64
EM G0158-2,26,36,51,85,64
EM G0158-3,26,36,51,85,64
EM G0158-4,26,36,51,85,64
EM G0158-5,26,36,51,85,64
EM G0322-1,26,37,53,88,66
EM G0322-2,26,37,53,88,66
EM G0322-3,26,37,53,88,66
EM G0322-4,26,37,53,88,66
